name,price,rpm,noise_level,color,size
be quiet! Dark Rock Pro 4,198,1500,"12.8,24.3",Black,
Thermalright Frozen Notte ARGB,50.9,2000,27.7,White,240
Corsair iCUE H170i ELITE LCD XT,278.26,"500,1700","5,33.8",Black,420
Thermalright Assassin X Refined SE ARGB,19.29,1550,25.6,White / Silver,
NZXT T120 RGB,44.99,"500,1800","17.2,27.5",Black,
Thermalright Assassin Spirit V2,,1500,25.6,Gray,
Deepcool LT720,,"500,2250",32.9,Black / Gray,360
be quiet! Dark Rock 4,115.92,1400,,Black,
Thermalright Assassin X SE,16.69,2200,23.85,Black / Silver,
MSI MAG CORELIQUID 360R V2,120.99,"500,2000","14.3,34.3",Black,360
Noctua NH-L9i chromax.black,54.95,"600,2500","14.8,23.6",Black,
Vetroo V5,27.99,"800,1700",30.8,Black,
Corsair iCUE H100i ELITE CAPELLIX XT,154.99,"550,2100","5,34.1",Black,240
Noctua NH-D15 G2,149.94,1500,24.8,Brown / Silver,
Noctua NH-L9i-17xx chromax.black,54.95,"600,2500","14.8,23.6",Black,
Cooler Master Hyper 212 Halo,30.49,"650,2050",27,Black,
Cooler Master MasterLiquid ML240L ARGB V2,,"650,1800","8,27",White,240
Cooler Master Hyper 212 RGB Black Edition,56.99,"650,2000","8,30",,
ARCTIC Freezer 36 A-RGB,33.1,"200,2000",,Black,
EK Nucleus AIO CR240 Dark,99.99,"550,2300",36,Black,240
Deepcool AK620 DIGITAL,,"500,1850",28,Black,
NZXT Kraken 120,88.99,"500,2000","21,36",Black,120
Thermalright AXP90-X47,39.9,2700,22.4,Orange / Brown,
NZXT Kraken Elite 240,159.99,"500,1800","17.9,30.6",Black,240
NZXT Kraken 280,143.99,"500,1500","19.4,32.1",Black,280
ARCTIC Liquid Freezer III 420 A-RGB,115.49,"200,1900",,Black,420
Corsair iCUE H150i ELITE CAPELLIX,285,2400,"10,37",Black,360
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,
ID-COOLING FX360 PRO,59.99,"500,1800",35.2,Black,360
be quiet! Pure Rock 2 FX,47.99,,"7.9,24.4",Black,
Deepcool LS720 SE,,"500,2250","28.2,32.9",Black,360
NZXT Kraken Z73,459.45,"500,1800","21,36",Black,360
be quiet! Pure Loop 2 FX,133.9,,"8,34",Black,360
NZXT T120 RGB,48.99,"500,1800","17.2,27.5",White,
NZXT Kraken Elite 240 RGB,259.7,"500,1800","17.9,30.6",White,240
Montech HyperFlow ARGB 360,99.9,2200,29.1,Black,360
Thermalright Frozen Prism,58.09,1850,27,Black,360
Deepcool AK620,,"500,1850",28,Black / Silver,
Lian Li Galahad II Trinity Performance,99.99,"2300,3000","32.1,39.9",White,360
ARCTIC Liquid Freezer III 240 A-RGB,90.08,"200,2000",,White,240
Thermalright Frozen Edge,47.9,2150,28.1,Black,240
Cooler Master Hyper 212 EVO,80.02,"600,2000","9,36",,
Cooler Master Hyper H412R,22.89,"600,2000",29.4,Black,
Deepcool AK400 DIGITAL,,"500,1850",28,Black,
Noctua NH-U9S,59.95,"400,2000","16.3,22.8",,
EK Nucleus AIO CR360 Dark,129.99,"550,2300",36,Black,360
MSI MAG CORELIQUID 240R V2,77.43,"500,2000","14.3,34.3",Black,240
Asus ROG Ryujin III,329.99,"600,2200",36.45,White,360
NZXT Kraken Elite 280,209.57,"500,1500","19.4,32.1",Black,280
ID-COOLING IS-55 Black,39.99,"500,2000",31.2,Black,
Thermalright Frozen Prism ARGB,50.9,1850,27,Black,240
Corsair iCUE H60x RGB ELITE,79.99,1500,"7,28",Black,120
Scythe Fuma 3,49.99,"200,1500","4,28.6",Black / Silver,
