name,price,rpm,noise_level,color,size
Thermaltake TH360 V2 Ultra ARGB Sync,179.99,"500,1800",25.8,White,360
Vetroo V5,27.99,"800,1700",30.8,Pink,
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,White,
Thermaltake TH360 V2 ARGB Sync,114.99,"500,2000",25.8,White,360
Corsair H100i RGB PLATINUM SE,,2200,36,White,240
Thermalright Silver Soul 110,28.9,2500,23,White,
Cooler Master Hyper 212 EVO V2,49.4,"650,1800","8,27",,
Thermalright Peerless Assassin 90 SE,25.9,2200,23.85,Black / Silver,
Enermax Liqmax III 360 ARGB,79.98,"500,1600","14,27",Black,360
ENDORFY Spartan 5 MAX ARGB,45.63,"250,1500",,Black / Silver,
Phanteks GLACIER ONE 420D30,180.99,"250,1800",29.5,Black,420
Jonsbo CR-1400 EVO Color White,,"800,2200","22.3,33.8",White,
Lian Li GALAHAD AIO 360 RGB,169.73,"800,1900",,Black / Silver,360
Thermalright Assassin King 120 Mini WHITE ARGB V3,20.69,1500,25.6,White / Silver,
MSI MAG CORELIQUID 240R V2,89.99,"500,2000","14.3,34.3",White,240
NZXT Kraken X73 RGB,395,"500,1500","22,33",White / Black,360
Iceberg Thermal IceFLOE OASIS 360,97.41,"200,2200",28.9,Black,360
Noctua NH-L12 Ghost S1,64.9,"300,1600","13.1,17.6",Silver / Beige,
Thermalright Assassin King SE ARGB,24.79,1550,25.6,Silver / Gray,
be quiet! Shadow Rock 3,59.99,,"11.5,24.4",White / Black,
Deepcool AG400 ARGB,,"500,2000",31.6,Black / Silver,
Corsair iCUE LINK TITAN 240 RX RGB,159.99,"300,2100",,Black,240
Fractal Design Lumen S36 RGB V2,134.98,"500,2000","10,33.2",Black,360
Deepcool LS520S ZERO DARK,,"500,2250","28.2,32.9",Black,240
Corsair iCUE LINK H170i RGB,199.99,"400,2000",,Black,420
ID-COOLING DASHFLOW BASIC,84.99,"700,1800","15.2,35.2",Black,360
Deepcool LS720 WH,,"500,2250",32.9,White,360
Scythe FUMA 2,,"300,1200","2.7,24.9",Black / Silver,
Asus ROG RYUJIN II ARGB,313.08,,,Black,240
NZXT Kraken X62,,"500,1800","21,38",,280
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,204.72,"800,1900",32,White / Silver,240
Deepcool AK500 DIGITAL,,"500,1850",28,Black,
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,,"600,2200",36.45,Red / Black,360
Deepcool AG300,,"500,3050",30.5,Black / Silver,
Cooler Master MasterLiquid PL360 FLUX,87,,32,Black,360
NZXT Kraken Z53,,"500,2000","21,36",Black,240
be quiet! Pure Loop 2,94.9,,"15.4,34.9",Black,240
Lian Li Galahad II LCD,188.68,"300,1550",26.7,Black,280
Thermaltake TH360 V2 Ultra ARGB Sync,159.99,"500,1800",25.8,Black,360
Corsair iCUE H150i RGB PRO XT,,2400,37,Black / White,360
iBuypower AW4,79.98,"700,2000",38,Black,240
ID-COOLING FROZN A410 ARGB,39.99,"500,2000",29.9,Black,
Deepcool AG500 BK ARGB,,"300,1850",29.4,Black,
Asus TUF GAMING LC 240 ARGB,119.99,"800,2000",29,Black,240
Thermalright SI-100 WHITE ARGB,26.9,2000,27.7,White,
Asus ROG STRIX LC III ARGB,216.44,"800,2200",36,Black,360
Thermalright Aqua Elite ARGB V2,,2000,28.2,,360
Deepcool LE500,,"500,2250",,Black,240
Noctua NH-U14S TR4-SP3,99.95,"300,1500","19.2,24.6",,
Asus ROG Ryujin III,189.99,"450,2000",29.7,Black,240
Corsair H115i RGB PLATINUM,225,2000,37,Black / Silver,280
Zalman CNPS9X Performa,19.98,"700,1800",28,Black,
Deepcool GAMMAXX AG620 ARGB,,"300,1850",29.4,Black,
Asus ROG RYUO III 240 ARGB,142.99,2200,36.45,Black,240
Corsair H55,,1500,"18,26.5",Black,120
Cooler Master MasterLiquid ML280 Mirror,150.99,"650,1400","10,27",Black,280
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,240
Jonsbo CR-1400 EVO Color Black,,"800,2200","22.3,33.8",Black,
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,Black,240
Vetroo V360,79.98,"800,1800",30.8,Pink,360
Deepcool LE520,,"500,2250",32.9,White,240
Corsair H100i PRO RGB,,2400,37,Black,240
Deepcool Ice Edge Mini FS V2.0,,2200,24.7,,
Cooler Master MasterLiquid Lite 120,,"650,2000","6,30",,120
Thermalright Burst Assassin 120 EVO DARK,32.9,1500,25.6,Black,
be quiet! Shadow Rock LP,49.9,1500,"14.8,25.5",,
be quiet! Silent Loop 2 240,183.03,2200,"16.8,38.3",Black,240
Cooler Master MASTERLIQUID PL360 FLUX,99.99,,32,White,360
Cooler Master MasterLiquid ML240L V2 RGB,139.9,"650,1800","8,27",White / Black,240
EK AIO 360 D-RGB,,"450,2600",36.4,Black,360
Deepcool LT520 WH,,"500,2250",32.9,White,240
Lian Li ALC 360,119.99,"300,2450",30,,360
Vetroo V360,79.98,"800,1800",30.8,Black,360
Montech HyperFlow ARGB 240,89.9,2200,29.1,Black,240
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420
Cooler Master Masterliquid 360 Atmos,149.99,"690,2500",27.2,White,360
Asus ROG STRIX LC III ARGB LCD,249.99,"800,2200",36,Black,360
ID-COOLING FROZN A410 ARGB WHITE,39.99,"500,2000",29.9,White,
ENDORFY Fera 5 Dual Fan,,"250,1800",,Black / Silver,
Deepcool AG400 PLUS,,"500,2000",,Black / Silver,
NZXT Kraken Z63 RGB,274.99,"500,1500","22,33",Black,280
Lian Li Galahad II LCD,226.8,"300,2450",30,White,360
Razer Hanbo Chroma,149.99,,,Black,360
Cooler Master MasterLiquid Lite 240,,"650,2000","6,30",,240
ID-COOLING ZOOMFLOW 360 XT,79.98,"500,1500","13.8,30.5",Black,360
Noctua NH-D14,,"900,1200","12.6,19.8",,
Cooler Master MasterLiquid PL240 FLUX,87.26,,32,Black,240
Asus ROG STRIX LC II 280 ARGB,117,"700,2100",35.7,Black,280
be quiet! Pure Rock Slim,33.99,2000,"13.1,25.4",,
Gigabyte AORUS WATERFORCE 360,199.99,"950,2150","16.9,31",Black,360
EVGA CLCx 360,169.99,,35,Black,360
Cooler Master Hyper 212 Halo SF6 Ryu,36.79,"650,2050",27,White / Orange,
Noctua NH-C14S,79.95,"300,1500","19.2,24.6",,
EK EK-Nucleus AIO CR240 Lux D-RGB,128.99,"550,2300",36,Black,240
ID-COOLING FROZN A620 ARGB WHITE,,"500,2000",29.9,White,
Noctua NH-U9DXi4,64.95,"300,1600","13.1,17.6",,
Lian Li GALAHAD AIO 360 RGB,,"800,1900",,White / Silver,360
ID-COOLING SL240,109.99,"500,2000",29.9,White,240
Cooler Master I70C,22.49,"650,1800",28,Black / Silver,
Noctua NH-D15 G2 HBC,149.94,1500,24.8,Brown / Silver,
be quiet! Pure Loop 2 FX,115.9,,"10.8,32.8",Black,280
Lian Li Galahad II LCD,204.99,"300,2450",30,Black,360
ID-COOLING FROZN A620 ARGB,59.99,"500,2000",29.9,Black,
ID-COOLING SE-224-XTS,29.99,"600,1500",28.9,White,
Intel BXTS15A,,"1000,3850",,,
Corsair iCUE LINK H115i RGB,169.99,"400,2000",,Black,280
Noctua NH-L9x65 SE-AM4,59.95,"600,2500","14.8,23.6",,
Thermaltake Gravity i3,19.98,"1200,3500",36.5,Silver / Black,
NZXT Kraken X53 RGB,,"500,1500","22,33",Black,240
MSI MAG CORELIQUID E240,89.99,,,Black,240
Thermalright Aqua Elite ARGB V2,,2000,28.2,,240
ARCTIC Liquid Freezer II 360 A-RGB,,"200,1800",22.5,Black / Gray,360
Thermalright SI-100,26.9,2000,27.7,Black,
MSI MPG CORELIQUID K360,390,,39.9,Black,360
Asus ROG STRIX LC III ARGB,213.5,"800,2200",36,White,360
Asus TUF Gaming LC II ARGB,119.99,"800,2000",29,Black,240
Thermalright Silver Soul 135,,1850,29.6,Black,
Fractal Design Celsius S24,139.27,"500,2000",32.2,,240
Fractal Design Lumen S28 RGB V2,123.98,"500,1700","10,35.5",Black,280
TEAMGROUP SIREN GD360E,109.99,"600,2200","14.3,35.6",White,360
Vetroo V240,59.99,"800,1800",30.8,Pink,240
Deepcool AK500,,"500,1850","25.9,31.5",White,
Deepcool AG620,,"300,1850",29.4,Black / Silver,
Lian Li Galahad AIO360 (2022),295,"800,1900",32,White / Silver,360
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,360
Thermalright Frozen Infinity 240 ARGB,50.9,2000,28.2,White,240
be quiet! Pure Loop 280,115.53,,"22.5,38.1",Black,280
Lian Li Galahad II Trinity,114.99,2450,35.4,White,240
Enermax AQUAFUSION ADV 360,84.99,"500,2000","15,32.6",Black,360
be quiet! Pure Loop 240,105.53,,"19,39.5",Black,240
Cooler Master MasterLiquid ML240 Illusion,109.99,"650,1800","6,30",Black,240
NZXT Kraken X63 RGB,266.5,"500,1500","22,33",White / Black,280
Thermaltake TH240 V2 ARGB Sync,99.99,"500,2000",25.8,White,240
Noctua NH-U9B SE2,119.99,"1000,1600","7.9,17.6",,
Noctua NH-U9 TR4-SP3,89.95,"400,2000","16.3,22.8",,
Alpenföhn BLACK RIDGE,63.28,"800,2800","14,37.6",Black,
Zalman CNPS10X Performa,29.99,"700,1500",27,Black,
Corsair iCUE LINK TITAN 240 RX RGB,159.99,"300,2100",,White,240
Deepcool MYSTIQUE 240,,"500,2150",36.49,Black,240
Deepcool AK500,,"500,1850",,Black / Silver,
iBuypower AW4,99.99,"700,2000",38,Black,360
TRYX PANORAMA ARGB,349.99,"500,1850",27.86,White,360
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,Black,280
Cooler Master Hyper 212 LED Turbo ARGB,61.86,"650,1800",27,Black,
Antec VORTEX 360,,"600,2000",31.24,Black,360
ID-COOLING FROZN A610 BLACK,39.99,"500,2000",29.85,Black,
Deepcool THETA 20 PWM,,"900,2400","17.8,32.5",Black / Silver,
Deepcool LS520 SE WH,,"500,2250","28.2,32.9",White,240
NZXT Kraken Elite (2024),,"500,2000",30,Black,360
Thermaltake TH120 V2 ARGB Sync,79.98,"500,2000",25.8,Black,120
be quiet! Dark Rock TF 2,89.9,1400,,Black,
Thermalright Frost Spirit 140 V3 BLACK,,1500,25.6,Black,
Cooler Master Hyper H410R RGB,46.91,"600,2000","6,29",,
NZXT Kraken Elite RGB (2024),,"500,2400",30,White,360
Jonsbo CR-1000,,"700,1800","20.55,37.2",Black,
ENDORFY Fortis 5 ARGB,84.18,"250,1400",,Black / Silver,
Phanteks GLACIER ONE 420D30,175.99,"250,1800",29.5,White,420
Razer Hanbo Chroma,109.99,,,Black,240
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240
Corsair H100i,,2700,37.68,,240
Cooler Master MA621P TR4,582.84,"600,1800",31,Black / Silver,
Corsair iCUE H115i ELITE CAPELLIX,215,2000,"10,36",Black,280
Fractal Design Lumen S36 V2,161.41,"500,2000","10,33.2",Black,360
Thermalright Frozen Warframe ARGB,,2000,22.1,Black,360
Deepcool AG620 WH ARGB,,"300,1850",29.4,White,
MSI MAG CORELIQUID E240 WHITE,89.99,,,White,240
Corsair H60,228.88,2000,30.85,,120
Phanteks Glacier One 360 T30 Gen2,369.49,"1200,3000","11.1,39.7",Black / Gray,360
Asus ROG STRIX LC III ARGB LCD,264.99,"800,2200",36,White,360
ID-COOLING PINKFLOW,,"900,2000","16.3,33.5",White / Pink,240
ID-COOLING SE-225-XT,34.99,"700,1800","15.2,35.2",Black,
ID-COOLING BLITZ X4,19.98,"500,1500",26.6,Black / Silver,
Scythe Fuma 2 Rev.B,,"300,1500","2.58,23.8",Black / Silver,
Deepcool AK500S DIGITAL,,"500,1850",28,Black,
Thermalright Peerless Assassin MINI,,1500,25.6,White,
NZXT Kraken X52,,"500,2000","21,36",,240
Zalman CNPS9X Performa ARGB,24.99,"700,1800",28,Black,
CRYORIG H7,139.88,"330,1600",25,,
Deepcool GAMMAXX 400 V2,,"500,1650",,Black / Blue,
Thermaltake TH360 V2 Ultra ARGB Sync,169.99,"500,1800",25.8,Blue / White,360
ID-COOLING DK-03,,1600,26.4,,
Alphacool Eisbaer Pro Aurora,214.95,,31.5,Black,420
Antec A400i,60.55,"800,1800","20,36",Black / Silver,
Deepcool LS520,,"500,2250",32.9,Black,240
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,Black,360
be quiet! Dark Rock Pro TR4,174.01,"1200,1500","12.8,24.3",Black,
Thermalright Frost Commander 140 BLACK,,1800,30.2,Black,
EK AIO 240 D-RGB,,"450,2600",36.4,Black,240
Asus ROG Ryujin III,217.02,"600,2200",36.45,White,240
EK AIO 120 D-RGB,79,"450,2600",36.4,Black,120
Thermaltake TH120 V2 ARGB Sync,79.98,"500,2000",25.8,White,120
MSI MPG CORELIQUID D360,219.99,,,Black,360
Asus ROG STRIX LC II,101.99,"800,2500",37.6,Black,240
NZXT Kraken Z53 RGB,,"500,1500","22,33",White / Black,240
Fractal Design Lumen S24 V2,,"500,2000","10,33.2",Black,240
EK AIO Basic 240,,"550,2200",33.5,Black,240
Deepcool Assassin 4S,,"500,1800",29.3,White,
NZXT Kraken Elite RGB (2024),,"500,2400",30,Black,360
ARCTIC Freezer i35 A-RGB,23.9,"200,1700",,Black,
be quiet! Light Loop,159.99,"1500,2900","17.2,36.8",Black,360
EVGA CLC 280,,"600,2200","16,39.5",,280
Corsair A500,89.99,2400,36,Black / Silver,
Cooler Master i50,16.98,2000,28,Black / Silver,
Thermalright Frozen Notte ARGB V2,,2000,27.7,Black,360
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"550,2300",36,White,240
Asus ROG RYUJIN 360,,"450,2000",29.7,Black,360
Corsair H110i,299.73,2100,43,,280
Jonsbo CR-3000 ARGB,36.99,"600,1500","22,32",White,
ID-COOLING IS-55 ARGB,39.99,"500,2000",31.2,White,
Corsair iCUE H100i ELITE CAPELLIX,,2400,"10,37",White,240
Deepcool AG400 DIGITAL BK ARGB,,"500,2100",31.6,Black,
Asus ROG STRIX LC II ARGB,119.99,"800,2500",37.6,White / Black,240
NZXT Kraken X63 RGB,,"500,1500","22,33",Black,280
ID-COOLING DASHFLOW 240 BASIC,,"700,1800","15.2,35.2",White,240
MSI MAG CORELIQUID I360,139.99,,,White,360
Deepcool GAMMAXX L240 V2,,"500,1800",30,Black / White,240
ID-COOLING SL240,109.99,"500,2000",29.9,Black,240
Asus ROG Ryujin III ARGB,209.99,"600,2200",36.45,Black,240
ID-COOLING SE-207-XT SLIM,49.99,"700,1800","15.2,35.2",,
Cooler Master MasterLiquid ML360R RGB,,"650,2000","6,34",Black,360
Corsair iCUE H100i ELITE LCD,259.99,"450,2000","10,30.4",Black,240
EK AIO Elite 360 D-RGB,,"550,2200",31.6,Black,360
Deepcool LD240,,"600,2400",38.71,Black,240
NZXT Kraken X73 RGB,,"500,1500","22,33",Black,360
GAMDIAS BOREAS E1,,"800,2000","10,31",Black / Silver,
Gigabyte AORUS WATERFORCE X,199.99,2300,"8.06,44.4",Black,280
Thermalright Frozen Warframe ARGB,,2000,22.1,White,360
Thermaltake TH360 ARGB Sync,,1500,28.2,Black,360
ID-COOLING FROZN A720 BLACK,69.98,"500,2000",33.5,Black,
MSI MAG CORELIQUID I360,139.99,,,Black,360
Gigabyte AORUS WATERFORCE 240,,"950,2150","16.9,31",Black,240
Corsair H150i PRO,,1600,25,,360
ARCTIC Liquid Freezer 360,,"500,1350",22.5,,360
Corsair iCUE H115i RGB Pro XT,,2200,36,Black,280
ID-COOLING IS-40-XT,26.99,"800,2800","14,35.2",Black,
Cooler Master MasterAir MA612 Stealth ARGB,97.99,"650,1800","8,27",,
ENDORFY Spartan 5 MAX,,"250,1500",,Black / Silver,
Cooler Master MasterLiquid ML240R RGB,136.87,"650,2000","6,30",,240
Thermaltake TH420 V2 Ultra ARGB Sync,194.98,"500,2000",34.7,Black,420
Asus ROG RYUO III 240 ARGB WHITE EDITION,139.99,2200,36.45,White,240
ARCTIC Alpine 11 Pro Rev. 2,,"500,2000",,,
Cooler Master X Dream I117,,1800,,,
Cooler Master A71C,,"650,1800",24.9,Black,
Thermalright AXP90-X53,,2700,22.4,Black,
Thermalright Silver Soul 135,,1850,29.6,Silver,
Asus ROG STRIX LC III,197.92,"800,2200",36,Black,360
Deepcool AK400,,"500,1850",29,Pink / White,
Lian Li Galahad AIO240 (2022),,"800,1900",32,Black / Silver,240
NZXT Kraken Elite (2024),,"500,2000",30,Black,240
KOLINK Umbra EX180 Black Edition,44.25,"800,1800",28.6,Black,
Thermalright Frozen Vision 360,,2150,27,Black,360
Noctua NH-U12S SE-AM4,74.95,"300,1500","18.6,22.4",,
EK AIO Basic 360,,"550,2200",33.5,Black,360
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black / White,
ARCTIC Freezer A35 A-RGB,46.16,"200,1700",,Black,
Antec Symphony ARGB,,"800,1600","20,35",Black,360
Cooler Master MasterLiquid ML240L RGB,,"650,2000","6,30",,240
Silverstone IceMyst 360,142.68,"500,2200","12.1,33.1",Silver / Black,360
Thermaltake TOUGHLIQUID Ultra,229.99,"500,2500",28.1,Black,360
ENDORFY Fortis 5,,"250,1400",,Black / Silver,
Gelid Solutions Liquid 360,92.99,"750,1800",29.6,Black,360
be quiet! Light Loop,164.99,"1500,2900","17.2,36.8",White,360
Alphacool Core Ocean T38,79,,"0,34.3",Black,360
Fractal Design Lumen S28 V2,206.99,"500,1700","10,35.5",Black,280
NZXT Kraken X53 RGB,174.98,"500,1500","22,33",White / Black,240
Thermaltake Contac Silent 12,29.99,"400,1500","22.1,28.8",,
Cooler Master MasterLiquid ML240 Illusion,123.59,"650,1800","6,30",White,240
Inter-Tech ALSEYE W90,35.99,3000,36.7,White / Black,
NZXT Kraken Z53 RGB,,"500,1500","22,33",Black,240
Enermax LIQMAX III 360 ARGB,79.98,"500,1600","14,27",White / Black,360
Deepcool LE500 Marrs,,"500,2250",32.9,Black,240
Fractal Design Celsius S36,204.59,"500,2000",32.2,,360
ENDORFY Spartan 5,,"250,1500",,Black / Silver,
MSI MEG CORELIQUID S280,295.06,,24.9,Black,280
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,White / Silver,360
ID-COOLING SL360,,"500,2000",29.9,Black,360
Phanteks PH-TC12ST5_DBK01,30.98,"400,2000",35.7,,
ID-COOLING DK-07i RAINBOW,,"500,1800","14.2,25.6",Black,
be quiet! Silent Loop 2 280,184.02,1600,"16.5,36.1",Black,280
Xilence A250PWM,23.31,"1000,2800","17.8,32",Red / Black,
Thermalright SI-100,24.19,2000,27.7,Gray,
Cooler Master Masterliquid 240 Atmos,113.99,"690,2500",27.2,White,240
NZXT Kraken X72,,"500,2000","21,36",Black,360
Zalman CNPS9X Performa ARGB,19.99,"700,1800",28,White,
Thermaltake Gravity A2,19.98,"1200,3500",33.5,Silver / Black,
Asus ROG RYUJIN II,189.99,"450,2000",29.7,Black,240
Amazon Basics,,"600,2000","6,29",,
NZXT Kraken Z63 RGB,,"500,1500","22,33",White / Black,280
ENDORFY Spartan 5 ARGB,41,"250,1500",,Black / Silver,
Scythe Mugen 5 Black Edition Rev.C,52.95,"300,1500","4,28.6",Black,
ENDORFY Fortis 5 Dual Fan,81.41,"250,1400",,Black / Silver,
Xilence I200,22.43,2200,25,Black / Silver,
Jonsbo CR-1400 EVO ARGB Black,,"800,2200","22.3,33.8",Black,
Cooler Master Wraith Ripper,,,"0,38",Black,
ENDORFY Fera 5 ARGB,,"250,1800",,Black / Silver,
Corsair H115i PRO,,1200,20.4,,280
BitFenix Cube ARGB,89.9,2000,34,Black,360
Thermaltake TH360 ARGB Sync,129.99,1500,28.2,White,360
Gelid Solutions BlackFrore,,"900,2000",20,Black,
ID-COOLING FROSTFLOW X 240 LITE,,"700,1800","15.2,35.2",Black,240
Deepcool AK500 DIGITAL WH,,"500,1850",28,White,
Deepcool Castle 240 RGB V2,,"500,1800",30,Black,240
Noctua NH-D15 SE-AM4,108.95,"1200,1500","19.2,24.6",,
Deepcool AG400 DIGITAL PLUS,,"500,2100",31.6,Black,
ENDORFY Navis F360 ARGB,185.52,"250,1800",,Black,360
Corsair iCUE LINK TITAN 280 RX RGB,179.99,"300,1700",,Black,280
Alphacool Core Ocean T38,92.06,,"0,36",Black,420
ID-COOLING SE-226-XT,78.11,"500,1500","13.8,30.5",Black,
Gigabyte AORUS WATERFORCE X,223.28,"800,2500","7.9,37.6",Black,240
be quiet! Pure Loop 360,,,"19.8,40.5",Black,360
Deepcool UD511 RGB,,"500,1800",26.8,Black,
Thermalright Frozen Warframe ARGB,,2000,22.1,White,240
EVGA CLCx 240,74.99,,35,Black,240
Thermalright Assassin King 120,,1500,25.6,White / Silver,
ARCTIC Freezer 34 eSports,44.64,"200,2100",,White / Black,
Thermaltake TH240 V2 Ultra ARGB Sync,149.99,"500,1800",25.8,White,240
Thermalright Frozen Warframe ARGB,,2000,22.1,Black,240
ID-COOLING SL PRO SE,139.99,"300,2000",27.2,Black,360
Fractal Design Celsius+ S36 Prisma PWM ARGB,335.99,"500,2000",32.7,Black,360
Corsair iCUE H170i ELITE LCD,,"400,1600","10,31.8",Black,420
Antec VORTEX 240,126.87,"600,2000",31.24,Black,240
Thermalright Aqua Elite ARGB,,1550,25.6,White,360
Corsair H115i,224.98,2000,40,,280
Thermalright Frozen Vision 360,,2150,27,White,360
Thermalright Frozen Warframe PRO ARGB,,2000,29.8,White,360
Enermax AQUAFUSION ADV 240,54.99,"500,2000","15,32.6",Black,240
Cooler Master MasterLiquid 360 Ion,249.99,,30,Black,360
Enermax ETS-T50 AXE ARGB,39.99,"500,1600","14,24",White,
be quiet! Pure Rock,,1500,"19.1,26.8",,
Asus ROG Ryujin 240 RGB AIO,175.58,"450,2000",29.7,Black,240
Aerocool Cylon 4,53.71,"800,1800","14,26",Black,
NZXT Kraken Elite RGB (2024),,"500,2400",30,White,240
Thermalright Assassin King 90,25.9,2500,27.3,Black / Silver,
CRYORIG M9a,,"600,2200",26.4,,
TRYX PANORAMA ARGB,349.99,"500,1850",27.86,Black,360
Lian Li GALAHAD AIO 240 RGB,,"800,1900",,White / Silver,240
Thermaltake TH420 V2 ARGB Sync,139,"500,1800",34.7,Black,420
Cooler Master MasterAir MA410P,49.99,"650,2000","6,30",,
Thermaltake TH240 V2 Ultra ARGB Sync,133.99,"500,1800",25.8,Black,240
Gelid Solutions Tranquillo Rev. 5,,"900,2000",26.5,Black,
Deepcool LS520 WH,,"500,2250",32.9,White,240
ID-COOLING SE-224-XTS ARGB,,"600,1500",28.9,Black,
Scythe Kotetsu Mark 3,25.99,"300,1500","4,28.6",Black / Silver,
Thermaltake TOUGHLIQUID Ultra,249.99,"500,2000",33.2,Black,420
Thermaltake Astria 200 ARGB,34.99,"500,1800",26.8,Black,
BitFenix Cube ARGB,89.9,2000,34,White,360
Alpenföhn Panorama 2,,"500,3000",37.6,Black,
Silverstone Hydrogon D120 ARGB V2,98.81,,"0,30.5",Black / Silver,
Montech HyperFlow ARGB 240,89.9,2200,29.1,White,240
Thermaltake TOUGHAIR 510,59.57,"500,2000",23.6,Black / Gray,
MSI MAG CORELIQUID C280,,"500,1800","14.8,33.28",Black,280
MSI MAG CORELIQUID 360R V2,289,"500,2000","14.3,34.3",White,360
Iceberg Thermal IceSLEET X9 Dual TR,42.99,"500,1850","0,38",Teal / Silver,
Cooler Master Hyper H411R,,"600,2000",29.4,Black / Silver,
ENDORFY Navis F360,,"250,1800",,Black,360
Corsair H80i v2,,2435,37.7,,120
Deepcool GAMMAXX GT A-RGB,,"500,1650",27.8,Black / Silver,
Vetroo U6 Pro,34.99,"700,1500","18.1,30.5",Black,
ID-COOLING FROZN A610,49.99,"500,2000",29.9,Black,
be quiet! Shadow Rock Slim 2,47.9,1400,"11.5,23.7",Black,
Noctua NH-U12DXi4,74.95,"300,1500","18.6,22.4",,
ID-COOLING IS-40X,26.99,"600,2500","14,33",Black / White,
Enermax ETS-N31-02,24.99,"800,2000",24.5,Black / Silver,
Iceberg Thermal IceSLEET G3,17.99,"600,1200",20.5,Black / Gray,
Thermaltake TH280 V2 ARGB Sync,111.99,"500,1800",34.7,White,280
Cooler Master Hyper T20,21.99,2000,30,Black / Silver,
ARCTIC Liquid Freezer II 120,,"200,1800",,Black,120
ID-COOLING SE-224-XTS,29.99,"600,1500",28.9,Black / Silver,
Jonsbo CR-1000 EVO ARGB Black,,"600,1500","22,32",Black,
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,White,
Deepcool AS500 Plus,,"500,1200",31.5,Black,
Thermalright Frozen Warframe,,2000,22.1,Black,240
Gigabyte AORUS WATERFORCE II 360,,"800,2300","12.8,36.9",Black,360
Deepcool AK500S DIGITAL,,"500,1850",28,White,
Alphacool Eisbaer 420,151.45,1100,29.4,Black / Blue,420
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"500,2000",30.7,Black,420
Asus TUF Gaming LC 120 ARGB,108.58,"800,2000",,Black,120
be quiet! Dark Rock Pro 3,,"1400,1700","13.2,26.1",,
Asus ROG STRIX LC III ARGB,133.79,"800,2200",36,White,240
be quiet! Pure Loop 2,74.98,,"13,32.1",Black,120
be quiet! Pure Loop 2,112.31,,"15.4,33.8",Black,280
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,229.99,"800,2400","12,37.5",Black,240
Scythe Big Shuriken 3,,"300,1800","2.7,30.4",Black / Silver,
Thermaltake Astria 400 ARGB,44.99,"500,1800",26.8,Black,
Deepcool AG400 LED,,"500,2000",31.6,Black / Silver,
ARCTIC Freezer 4U-M,54.99,"400,2300",40,Black / Silver,
Thermaltake TOUGHAIR 310,39.99,"500,2000",23.6,Black / Gray,
Cooler Master Hyper 212 LED Turbo White Edition,,"600,1600","9,31",White,
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,240
GAMDIAS CHIONE P3-360U,,"800,2000","10,31",Black,360
Gelid Solutions Liquid 240,85,"750,1800",29.6,Black,240
ENDORFY Navis F240,125.76,"250,1800",,Black,240
Mars Gaming ML-ONE,,"600,1800","9,26",Black,120
Cooler Master Hyper TX3 EVO,70.59,"800,2800","17,35",,
ARCTIC Liquid Freezer II 360 Rev. 2,,"200,1800",,Black,360
Alphacool Core Ocean T38,69.45,,"0,34.3",Black,240
NZXT Kraken X61,,"800,2000","20,37",,280
Iceberg Thermal IceSLEET X5,29.99,"500,1850","0,36",Teal / Silver,
Asus ROG STRIX LC III ARGB,168.59,"800,2200",36,Black,240
Thermaltake Astria 600 ARGB,59.99,"500,1800",26.8,Black,
Deepcool R-AN600-BKNNMN-G,,"500,1850","20,24.4",Black / Silver,
Deepcool CASTLE 360EX,,"500,1800",32.1,Black,360
EVGA CLC 360,,"500,2400","16,39.9",Black,360
Alphacool Eisbaer Aurora 420,189.95,"600,1500",,Black,420
Cooler Master i71C RGB,,"650,1800",,Black,
Deepcool ASSASSIN III,,"400,1400",34.2,Black / Silver,
ARCTIC Freezer A35 CO,36.64,"200,1800",,Black / Silver,
Deepcool AS500 PLUS WH,,"500,1200",31.5,White / Silver,
Fractal Design Celsius S36 Blackout,,"500,2000",32.2,Black,360
Jonsbo CR-3000 ARGB,,"600,1500","22,32",Black / Silver,
Scythe Big Shuriken 3 Rev.B,,"300,1800","2.58,27.8",Black / Silver,
Thermaltake TH280 V2 ARGB Sync,,"500,1800",25.8,Green,280
NZXT Kraken Elite RGB (2024),,"500,2400",30,Black,240
Enermax Liqmax III 120 HF,80.16,"500,2000","14,32",Black,120
Antec Symphony ARGB,,"800,1600","20,35",White,360
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
