name,price,resolutions,connection,focus_type,os,fov
Anker PowerConf C302,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Green Extreme T200 + Live Streaming Bundle,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Wansview 106JD,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",60
Anker PowerConf C300,,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Microsoft Lifecam Cinema,129,"720p",USB 2.0 Type-A,Auto,"Windows",73
Wansview 102JD,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
VDO360 2SEE,79.98,"1080p,720p",USB 2.0 Type-A,,"Windows,OS X,Linux,Android",75
Microsoft LifeCam HD-3000 L2,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Creative Labs Live! Cam Sync HD,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Wansview 105JD,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",90
OBSBOT Tiny,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86
Creative Labs BlasterX Senz3D,,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",77
Avermedia HD Webcam 310,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Adesso Cybertrack H4P,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
