name,price,style,switches,backlit,tenkeyless,connection_type,color
SteelSeries Apex 3,39.99,Gaming,,RGB,false,Wired,Black
Corsair K55 CORE RGB,39.99,Gaming,,RGB,false,Wired,Black
Razer Huntsman V2,109.99,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Keychron V1 Max,79,Mini,Gateron Jupiter Brown,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
HP 320MK,13,Standard,,,false,Wired,Black
Corsair K70 CORE,78.98,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Logitech MK200,19.98,Slim,,,false,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed,95.36,Gaming,Razer Green,RGB,true,Wireless,Black
Corsair K55 RGB PRO XT,69.98,Gaming,,RGB,false,Wired,Black
Asus ROG Strix Flare II Animate,219.99,Gaming,ROG NX Red,RGB,false,Wired,Black
Razer Huntsman V2,159.99,Gaming,Razer Red Optical Linear,RGB,false,Wired,Black
HP HyperX Alloy Origins Core,61.5,Gaming,HyperX Aqua,RGB,true,Wired,Black
Razer Huntsman Elite,269.14,Gaming,Razer Purple,RGB,false,Wired,Black
SHARKOON Skiller,,Gaming,,,false,Wired,Black
Logitech K400 Plus,26.98,Mini,,,true,Wireless,Black / Yellow
Razer Huntsman Mini,85.29,Mini,Razer Red Optical Linear,RGB,true,Wired,White
Logitech G915 TKL,139.99,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,true,Wireless,Black / Gray
AmazonBasics KU-0833 +MSU0939,14.99,Standard,,,false,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Brown,RGB,true,Wired,White / Black
Logitech G510s,583.98,Gaming,,Multicolor,false,Wired,Black
Razer Blackwidow V3 - Quartz,139.99,Gaming,Razer Green,RGB,false,Wired,Pink
Asus ROG CLAYMORE II,269.99,Gaming,ROG RX Blue Optical,RGB,false,Wireless,Black
Tecware Phantom RGB,49.99,Gaming,Outemu Red,RGB,true,Wired,Black
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,false,Wired,Black
HP HyperX Alloy Origins,87,Gaming,HyperX Red,RGB,false,Wired,Black
Logitech G710 Plus,288.5,Gaming,Cherry MX Brown,White,false,Wired,Black
MSI Vigor GK30,64.99,Gaming,,RGB,false,Wired,White
SteelSeries Apex 5,79.98,Gaming,,RGB,false,Wired,Black
Corsair K65 RGB MINI,84.98,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
Logitech K120,,Standard,,,false,Wired,Black
SteelSeries Apex Pro Mini Wireless,179.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
Corsair K70 PRO MINI,163.79,Mini,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
HP HyperX Alloy Origins 60,64.98,Gaming,HyperX Red,RGB,true,,Black
Logitech K120 - UK Layout,,Standard,,,false,Wired,Black
Logitech G815 Lightsync RGB,153.99,Gaming,GL Tactile,RGB,false,Wired,Black
Logitech G512 CARBON,98.5,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Razer BlackWidow V4 75%,169.99,Mini,Razer Orange,RGB,true,Wired,Black
SteelSeries Apex 3,34.97,Gaming,,RGB,true,Wired,Black
Logitech MK235,23.99,Standard,,,false,Wireless,Black
Logitech G213,49.99,Gaming,,RGB,false,Wired,Black
Dell KB216,13.49,Slim,,,false,Wired,Black
Corsair K100 RGB,249.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,false,Wired,Black
Keychron Q1 Pro,199.99,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair Vengeance K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
Redragon K512 SHIVA RGB,36.99,Gaming,,RGB,false,Wired,Black
Razer Cynosa V2,59.99,Gaming,,RGB,false,Wired,Black
Asus ROG Falchion Ace,89.99,Gaming,ROG NX Red,RGB,true,Wired,White
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,false,Wired,Gold / Black
Logitech G915 TKL,149.99,Gaming,GL Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer BlackWidow V4 75%,179.99,Mini,Razer Orange,RGB,true,Wired,White
Logitech diNovo Edge,709.48,Mini,,,false,Bluetooth Wireless,Black / White
SteelSeries Apex Pro TKL,209.99,Gaming,SteelSeries QX2 OmniPoint,RGB,true,Wired,Black
MSI VIGOR,35.21,Gaming,,RGB,false,Wired,Black / Gray
Verbatim 70734,13.39,Standard,,,false,Wired,Black
DROP MDX-22176-14,,Gaming,Cherry MX Brown,RGB,true,"Wired, Wired",Gray
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MX KEYS S,109.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 RGB PRO,149.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
