name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer DeathAdder Elite,38.97,Optical,Wired,16000,Right,Black / Green
Corsair SCIMITAR ELITE WIRELESS MMO,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Viper Ultimate w/Dock,154.91,Optical,Wireless,20000,Both,Pink
Logitech PRO X Superlight 2,140.99,Optical,"Wired, Wireless",32000,Right,Pink
Glorious MODEL O,49.99,Optical,Wired,12000,Right,White
Redragon M908 IMPACT MMO,46.42,Optical,Wired,12400,Right,Black
Glorious Model O 2,74.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Basilisk V3 X Hyperspeed,59,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Razer Viper Ultimate,155.22,Optical,Wireless,20000,Both,White
Logitech G403 HERO,49.99,Optical,Wired,25600,Right,Black / Blue
Verbatim 70235,8.99,Optical,Wired,,Both,Purple / Black
Razer Orochi V2,44.99,Optical,Wireless,18000,Right,White
Razer Cobra Pro,124.31,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Asus ROG Chakram X Origin,124.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Logitech M330 SILENT PLUS,19.98,Optical,Wireless,1000,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION,119.99,Optical,"Wired, Wireless",36000,Right,White
Razer DeathAdder V3 HyperSpeed,99,Optical,"Wired, Wireless",26000,Right,Black
Asus P707 ROG SPATHA X,129.99,Optical,Wireless,19000,Right,Black
SteelSeries Rival 650 Wireless,60.29,Optical,Wireless,12000,Right,Black
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,Black
ROCCAT KONE Pro,24.99,Optical,Wired,19000,Right,Black
Redragon Mammoth,29.99,Laser,Wired,16400,Right,Black / Red
HP HyperX Pulsefire Haste 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Cooler Master MM711 Matte Black,24.99,Optical,Wired,16000,Right,Black
Corsair M65 RGB ELITE,126.94,Optical,Wired,17995,Right,White
SteelSeries Aerox 9,129.99,Optical,Wireless,18000,Right,Black
Logitech G600 MMO Gaming Mouse,204.78,Laser,Wired,8200,Right,Black
Razer Naga V2 Pro w/Dock Pro,219.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech TrackMan,399.95,Trackball,Wireless,,Right,Black / Silver
Corsair NIGHTSABRE RGB,149.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Viper 8KHz,81.55,Optical,Wired,20000,Both,Black
SteelSeries Aerox 3 (2022),78.99,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Asus ROG Keris II WL Ace,159,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,White
Glorious MODEL D,37.86,Optical,Wired,12000,Right,White
Corsair IRONCLAW RGB WIRELESS,69.98,Optical,Wireless,18000,Right,Black
