name,price,type,efficiency,wattage,modular,color
Vetroo GV1000,109.99,ATX,gold,1000,Full,White
SeaSonic FOCUS Plus Gold,149.99,ATX,gold,1000,Full,Black
Deepcool PK650D,,ATX,bronze,650,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,650,false,Black
Raidmax XT,30.99,ATX,,400,false,
EVGA 750 N1,59.99,ATX,,750,false,
Thermaltake Smart BM3,84.99,ATX,bronze,750,Semi,Black
SeaSonic PRIME TX,,ATX,titanium,1600,Full,Black / Silver
Corsair HX1200 Platinum,405,ATX,platinum,1200,Full,
Corsair RM850x SHIFT,144.99,ATX,gold,850,Full / Side,Black
SeaSonic PRIME TX-1600 ATX 3.0,586.99,ATX,titanium,1600,Full,Black / Silver
EVGA 750 GQ,94.99,ATX,gold,750,Semi,
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
SeaSonic PRIME TX-1000,,ATX,titanium,1000,Full,Black
Thermaltake Toughpower GF3 TT Premium,159.99,ATX,gold,1200,Full,Black
Gigabyte UD1000GM,129.99,ATX,gold,1000,Full,Black
EVGA 500 BR,96.41,ATX,bronze,500,false,
Lian Li EDGE,,ATX,platinum,1300,Full,White
Thermaltake Toughpower GF A3 - TT Premium Edition,84.99,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 Snow,159.99,ATX,gold,1200,Full,White
Thermaltake Toughpower GX3,84.99,ATX,gold,850,false,Black
be quiet! Straight Power 12,149.9,ATX,platinum,850,Full,Black
SeaSonic S12III,70,ATX,bronze,650,false,Black
SeaSonic FOCUS GX,96.99,ATX,gold,650,Full,Black
Corsair RM1000x SHIFT,209.99,ATX,gold,1000,Full / Side,Black
SeaSonic VERTEX PX-1000,268,ATX,platinum,1000,Full,Black / Silver
Asus ROG Strix,168.99,ATX,gold,850,Full,White
Corsair RM1000x,229,ATX,gold,1000,Full,
EVGA SuperNOVA 550 GM,99,SFX,gold,550,Full,Black
EVGA SuperNOVA 850 GM,154.99,SFX,gold,850,Full,Black
SeaSonic VERTEX PX-1200,305.45,ATX,platinum,1200,Full,Black / Silver
be quiet! Pure Power 12 M,94.8,ATX,gold,550,Full,Black
EVGA SuperNOVA 850G XC,109.99,ATX,gold,850,Full,Black
Gigabyte P750GM,,ATX,gold,750,Full,Black
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,Black
SeaSonic S12III,58.45,ATX,bronze,500,false,Black
Corsair CV450,,ATX,bronze,450,false,Black
NZXT C1200 (2024),184.99,ATX,gold,1200,Full,White
EVGA SuperNOVA 850 P5,119.99,ATX,platinum,850,Full,Black / Teal
Corsair RM850x,167.99,ATX,gold,850,Full,
Gigabyte UD-GM PG5,129.99,ATX,gold,850,Full,White
Corsair RM1000x (2024),189.99,ATX,,1000,Full,Black
Asus TUF Gaming 750G,105,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 TT Premium,289.99,ATX,gold,1650,Full,Black
ADATA XPG Core Reactor II,89.99,ATX,gold,750,Full,Black
EVGA 650 GQ,94.99,ATX,gold,650,Semi,
Asus ROG THOR P2 Gaming,195.99,ATX,platinum,850,Full,Black / Silver
SeaSonic PRIME TX-1300 ATX 3.0,509.99,ATX,titanium,1300,Full,Black / Silver
Lian Li EDGE,229.9,ATX,platinum,1300,Full,Black
Super Flower Leadex,,ATX,platinum,2000,Full,
SeaSonic FOCUS GX-750 ATX 3.0,159.99,ATX,gold,750,Full,Black
Corsair AX1200i,631.73,ATX,platinum,1200,Full,
ARESGAME AGV,,ATX,bronze,650,false,Black
Lian Li SP850,134.99,SFX,gold,850,Full,Black
Corsair RM650 (2019),198,ATX,gold,650,Full,Black
be quiet! System Power 10,75.31,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 TT Premium,114.98,ATX,gold,750,Full,Black
Asus ROG THOR P2 Gaming,302.99,ATX,platinum,1000,Full,Silver / Black
be quiet! SFX L Power,148.83,SFX,gold,500,Full,
Segotep GM,,ATX,gold,750,Full,Black
Gigabyte P-B,,ATX,bronze,650,false,Black
NZXT C850 (2024),134.99,ATX,gold,850,Full,White
EVGA SuperNOVA 750 G2,342.94,ATX,gold,750,Full,
Asus ROG LOKI,207.99,SFX,platinum,850,Full,Black / Silver
SeaSonic G12 GC,100.29,ATX,gold,650,false,Black / Blue
Gigabyte P550B,71.09,ATX,bronze,550,false,Black
Apevia ATX-ES700-RGB,48.99,ATX,,700,Semi,Black
Vida Lite,,ATX,,500,false,Black
MSI MAG A750BE,79.99,ATX,bronze,750,Semi,Black
Enermax Revolution D.F. X,114.99,ATX,gold,850,Full,Black
MSI MAG A1000GL PCIE5,179.99,ATX,gold,1000,Full,Black
EVGA 650BP,62.09,ATX,bronze,650,false,Black
SeaSonic FOCUS Gold,,ATX,gold,550,Semi,
SeaSonic VERTEX GX-1200,243.13,ATX,gold,1200,Full,Black / Silver
Apevia Premier,59.99,ATX,gold,650,Semi,Black
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
Corsair HX1000 Platinum,385,ATX,platinum,1000,Full,
Gigabyte P650G (US),,ATX,gold,650,false,Black
Vetroo GV1000,109.99,ATX,gold,1000,Full,Black
Super Flower Leadex III Gold,129,ATX,gold,750,Full,Black
Cooler Master V SFX Platinum,199.99,SFX,platinum,1100,Full,Black
Super Flower Leadex Titanium,,ATX,titanium,1000,Full,Black
Corsair CX550 (2017),,ATX,bronze,550,false,
Super Flower Leadex III Gold,159,ATX,gold,850,Full,Black
EVGA SuperNOVA 1300 GT,159.99,ATX,gold,1300,Full,Black
SeaSonic FOCUS Plus Platinum,,ATX,platinum,850,Full,
Corsair RM850x SHIFT,154.72,ATX,gold,850,Full / Side,White
be quiet! Dark Power 13,159.9,ATX,titanium,750,Full,Black
Silverstone Extreme 500 Bronze,84.83,SFX,bronze,500,false,Black / White
Gigabyte UD-GM PG5,123.48,ATX,gold,750,Full,Black
be quiet! Straight Power 12,250.14,ATX,platinum,1500,Full,Black
Corsair CX450M (2015),105.15,ATX,bronze,450,Semi,
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,750,Full,Black
Corsair RM750x (2018),159.96,ATX,gold,750,Full,Black
Corsair SF600 (2018),239,SFX,platinum,600,Full,Black
Corsair RM650x (2018),210.25,ATX,gold,650,Full,Black / Silver
ADATA XPG Core Reactor II,114.99,ATX,gold,850,Full,Black
NZXT C1000 (2024),169.99,ATX,gold,1000,Full,White
Thermaltake Smart BX1 650,64.98,ATX,bronze,650,false,Black
be quiet! System Power 10,86.26,ATX,bronze,750,false,Black
Corsair RM1200x SHIFT,219.99,ATX,gold,1200,Full / Side,White
Asus Prime AP-850G,125.99,ATX,gold,850,Full,White / Black
Aerocool Integrator,,ATX,bronze,500,false,Black
Corsair HX1000i,384,ATX,platinum,1000,Full,
Corsair RM850x (2024),149.99,ATX,,850,Full,Black
EVGA SuperNOVA 650 GT,108,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 G5,134.99,ATX,gold,1000,Full,Black / Green
NZXT C1000 (2024),159.99,ATX,gold,1000,Full,Black
ADATA XPG PYLON,,ATX,bronze,650,false,Black
Asus ROG LOKI,247.99,SFX,platinum,1000,Full,Silver / Black
"FSP Group Hydro Ti PRO,Gen 5",229.99,ATX,titanium,1000,Full,Black
be quiet! SFX L Power,157.49,SFX,gold,600,Full,
be quiet! System Power 10,,ATX,bronze,450,false,Black
EVGA 500 GD,,ATX,gold,500,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,139.99,ATX,gold,1050,Full,Black
Cooler Master GX III GOLD,94.99,ATX,gold,850,Full,Black
NZXT C850 (2024),129.99,ATX,gold,850,Full,Black
Corsair RM850x (2018),168.17,ATX,gold,850,Full,Black
Asus ROG Strix Aura Edition,202.99,ATX,gold,1000,Full,Black
Corsair CX750,,ATX,bronze,750,false,
ADATA XPG Core Reactor II,79.98,ATX,gold,650,Full,Black
PowerSpec PS 650GSM,74.98,ATX,gold,650,Semi,Black
Apevia Signature,64.98,ATX,bronze,1050,Semi,Black
Cooler Master V550 SFX GOLD,,SFX,gold,550,Full,Black
be quiet! Straight Power 12,129.9,ATX,platinum,750,Full,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,850,Full,Black
EVGA 650 B5,,ATX,bronze,650,Full,Black
be quiet! System Power 10,,ATX,bronze,550,false,Black
Silverstone FX500-G,126.51,Flex ATX,gold,500,false,Black
Gigabyte P850GM,148.99,ATX,gold,850,Full,Black
SeaSonic B12 BC,,ATX,bronze,750,false,
ARESGAME AGV,,ATX,bronze,500,false,Black
SeaSonic G12 GC,,ATX,gold,750,false,Black / Blue
Corsair CX650 (2017),147.77,ATX,bronze,650,false,
Segotep GN,,ATX,gold,650,false,Black
Athena Power AP-MTFX30,36.99,TFX,,300,false,
NZXT C1500,299.99,ATX,platinum,1500,Full,Black
PowerSpec PS 750BSM,72.98,ATX,bronze,750,Semi,Black
Silverstone HELA 2050R Platinum,,ATX,,2050,Full,Black
Asus ROG Strix Aura Edition,250.11,ATX,gold,1200,Full,Black
Silverstone SFX,216.98,SFX,titanium,800,Full,
EVGA 850 B5,99.99,ATX,bronze,850,Full,Black
Cooler Master G600,,ATX,gold,600,false,Black
MSI MPG A850GF,,ATX,gold,850,Full,Black
be quiet! SFX Power 3 450,105.93,SFX,bronze,450,false,Black
Asus ROG LOKI,239.99,SFX,platinum,850,Full,White / Silver
EVGA 1000 GQ,124.99,ATX,gold,1000,Semi,
Corsair RM850,196.96,ATX,gold,850,Full,Black
SeaSonic FOCUS SGX,,SFX,gold,650,Full,Black
be quiet! System Power 10,,ATX,gold,850,false,Black
EVGA SuperNOVA 650 P5,109.99,ATX,platinum,650,Full,Black / Teal
EVGA SuperNOVA 1000 P3,198.14,ATX,platinum,1000,Full,Black / Silver
Thermaltake TR2 S,61.93,ATX,plus,600,false,Black
Corsair CX650M,139.94,ATX,bronze,650,Semi,
Deepcool PM750D,,ATX,gold,750,false,Black
EVGA SuperNOVA 1000 P6,189.99,ATX,platinum,1000,Full,Black / Silver
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full,Black
ADATA XPG Core Reactor II,129.99,ATX,gold,1000,Full,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
EVGA SuperNOVA 650 G5,89.99,ATX,gold,650,Full,Black / Green
EVGA SuperNOVA 750 G3,207.99,ATX,gold,750,Full,
Corsair CX750F,225,ATX,bronze,750,Full,Black
MSI MPG A1000G,227.85,ATX,gold,1000,Full,Black
ADATA XPG CORE Reactor 850,147,ATX,gold,850,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black
Thermaltake Smart BM3,89.99,ATX,bronze,850,Semi,Black
Deepcool PX850G,,ATX,gold,850,Full,Black
be quiet! Pure Power 12 M,166.6,ATX,gold,1200,Full,Black
EVGA SuperNOVA 850 G3,,ATX,gold,850,Full,
EVGA 450 BR,,ATX,bronze,450,false,
Cooler Master V850 SFX GOLD,,SFX,gold,850,Full,White
Cooler Master XG750 Plus,99.99,ATX,platinum,750,Full,Black
Silverstone SFX,74.38,SFX,bronze,300,false,Black
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
Cougar GEX,89.99,ATX,gold,850,Full,Black
CoolMax I-500,33.97,ATX,,500,false,
Deepcool PF500 230V,,ATX,plus,500,false,Black
SeaSonic G12 GC,92.87,ATX,gold,550,false,Black / Blue
Thermaltake Toughpower GF A3 - TT Premium Edition,79.99,ATX,gold,650,Full,Black
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,850,Full,Black
Raidmax RX-730SS,49.99,ATX,,730,Semi,
SeaSonic PRIME TX-850,337.1,ATX,titanium,850,Full,Black
Deepcool PQ1000M,,ATX,gold,1000,Full,Black
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1000G XC,152.47,ATX,gold,1000,Full,Black
G.Skill MB850G,99.98,ATX,gold,850,Full,Black
MSI MPG A650GF,229.69,ATX,gold,650,Full,Black
be quiet! Pure Power 11 600,133.09,ATX,gold,600,false,Black
Silverstone DA750 Gold,135.27,ATX,gold,750,Full,Black / White
Super Flower Leadex Platinum SE,169.99,ATX,platinum,1000,Full,White
Corsair CX600,138,ATX,bronze,600,false,
Corsair AX1500i,649,ATX,titanium,1500,Full,
Corsair TX650M,,ATX,gold,650,Semi,Black
be quiet! Pure Power 11,,ATX,gold,700,false,Black
SeaSonic 1000FX WHITE,154.99,ATX,gold,1000,Full,White
Thermaltake Toughpower GF3 TT Premium,161.77,ATX,gold,1000,Full,Black
Asus ROG-STRIX-850G,155.74,ATX,gold,850,Full,Black
Azza PSAZ-650W,59.99,ATX,bronze,650,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,750,false,Black
Corsair RM650x (2021),,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 G6,139.99,ATX,gold,1000,Full,Black
SeaSonic FOCUS PX,,ATX,platinum,850,Full,Black
Asus ROG THOR 1200P,,ATX,platinum,1200,Full,Black
SeaSonic VERTEX GX-1000,209.99,ATX,gold,1000,Full,Black / Silver
NZXT C750 (2023),,ATX,bronze,750,false,Black
Corsair RMe (2023),,ATX,gold,1200,Full,Black
Montech TITAN GOLD 1000W,149.99,ATX,gold,1000,Full,Black
Silverstone SX650-G,139.99,SFX,gold,650,Full,
Corsair VS350,,ATX,plus,350,false,Black
MSI MAG A1250GL PCIE5,219.99,ATX,gold,1250,Full,Black
Asus ROG Strix,146.46,ATX,gold,750,Full,Black / Red
NZXT C1200 (2024),199.99,ATX,gold,1200,Full,Black
Corsair RM750x SHIFT,139.99,ATX,gold,750,Full / Side,White
Corsair RM850x White,279,ATX,gold,850,Full,White / Black
Super Flower LEADEX VII XG,154.97,ATX,gold,850,Full,Black
EVGA 750 BP,74.98,ATX,bronze,750,false,Black
Thermaltake Smart BX1,74.98,ATX,bronze,750,false,Black
Asus ROG LOKI,,SFX,titanium,1200,Full,Black / White
Deepcool PK550D,,ATX,bronze,550,false,Black
Lian Li EDGE,,ATX,platinum,850,Full,Black
Silverstone DA650 Gold,,ATX,gold,650,Full,Black / White
Super Flower Leadex VI Platinum PRO,219.99,ATX,platinum,1000,Full,Black / Blue
Cooler Master G800,,ATX,gold,800,false,Black
ARESGAME AGS,71.98,ATX,gold,850,Semi,Black / Red
Corsair RM750,179,ATX,gold,750,Full,Black
Silverstone DA850 Gold,,ATX,gold,850,Full,Black / White
be quiet! System Power 9 500 CM,,ATX,bronze,500,Semi,Black
EVGA 600 BQ,119,ATX,bronze,600,Semi,
ARESGAME AGV,,ATX,bronze,750,Semi,Black
Thermaltake Toughpower SFX,130.72,SFX,gold,750,Full,Black
Silverstone FX600 Platinum,169.99,Flex ATX,,600,false,Black
SeaSonic G12 GM,149.99,ATX,gold,650,Semi,Black / Blue
KOLINK Regulator,99.99,ATX,gold,1200,Full,Black
SeaSonic FOCUS SGX (2021),,SFX,gold,750,Full,Black
Cooler Master MWE White V2 230V,89.78,ATX,plus,700,false,Black
Asus TUF Gaming,,ATX,bronze,750,false,Black
Asus TUF Gaming 1000G,,ATX,gold,1000,Full,White
Thermaltake TR2 S,78.94,ATX,plus,700,false,Black
CoolMax V-400,24.99,ATX,,400,false,
Corsair VS550 (2018),265.79,ATX,plus,550,false,
EVGA SuperNOVA 650 G3,,ATX,gold,650,Full,
GAMDIAS KRATOS P1 G,74.98,ATX,gold,750,false,Black
Asus ROG THOR P2 Gaming EVA Edition,559.11,ATX,platinum,1000,Full,Black / Silver
Silverstone HELA 1200R,231.76,ATX,platinum,1200,Full,Black
GameMax GP,,ATX,bronze,400,false,Black
Corsair RM750x,161.8,ATX,gold,750,Full,
Xilence XP500R6,69.19,ATX,,500,false,Black / Red
Mars Gaming MPIII750,,ATX,,750,false,White
be quiet! System Power 9 CM,160.8,ATX,bronze,400,Semi,Black
SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
Thermaltake Smart,,ATX,plus,430,false,Black / White
Corsair SF450 (2018),299.79,SFX,platinum,450,Full,Black
Corsair TX550M Gold,237.23,ATX,gold,550,Semi,
EVGA SuperNOVA 1000 P2,,ATX,platinum,1000,Full,
Deepcool PF600 230V,,ATX,plus,600,false,Black
Asus ROG THOR 850P,,ATX,platinum,850,Full,Black / Red
Thermaltake Toughpower TF1 - TT Premium,499.99,ATX,titanium,1550,Full,Black
EVGA SuperNOVA 550 GA,106.04,ATX,gold,550,Full,Black
Silverstone FX350-G,97.99,Flex ATX,gold,350,false,Black
Aerocool Integrator Gold,,ATX,gold,750,Full,Black
be quiet! Pure Power 11,,ATX,bronze,300,false,Black
Cooler Master V750 Gold i,,ATX,gold,750,Full,Black / Gold
SeaSonic B12 BC,,ATX,bronze,650,false,
EVGA SuperNOVA 1300 G+,169.99,ATX,gold,1300,Full,Black
Corsair RM550x,229.73,ATX,gold,550,Full,
Deepcool PX1000G,,ATX,gold,1000,Full,Black
Asus TUF Gaming 1200G,219.99,ATX,gold,1200,Full,Black
Corsair CV750,,ATX,bronze,750,false,Black
Cooler Master M2000,,ATX,platinum,2000,Full,Black
EVGA 750 B5,94.99,ATX,bronze,750,Full,Black
Thermaltake Toughpower SFX,173.27,SFX,platinum,1000,Full,Black
EVGA SuperNOVA 850 G6,109.99,ATX,gold,850,Full,Black
Corsair CX500M,,ATX,bronze,500,Semi,
Corsair CX550M,184.99,ATX,bronze,550,Semi,
EVGA SuperNOVA 1600 G+,249.99,ATX,gold,1600,Full,Black
FSP Group Dagger Pro,139.99,SFX,gold,650,Full,Black
EVGA SuperNOVA 1600 P+,298.37,ATX,platinum,1600,Full,Black
EVGA 650 BQ,112.92,ATX,bronze,650,Semi,
Cooler Master V SFX Platinum,,SFX,platinum,1300,Full,Black
Deepcool PK600D,,ATX,bronze,600,false,Black
EVGA 850 GQ,,ATX,gold,850,Semi,
Thermaltake Smart BX1 550,65.61,ATX,bronze,550,false,Black
Thermaltake Smart Pro RGB,129,ATX,bronze,650,Full,
SeaSonic G12 GM,,ATX,gold,850,Semi,Black / Blue
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Thermaltake Toughpower SFX,139.99,SFX,gold,850,Full,Black
SeaSonic G12 GC,,ATX,gold,850,false,Black / Blue
SeaSonic PRIME PX-2200 ATX 3 (2024),,ATX,platinum,2200,Full,Black
Super Flower Leadex Titanium,289.99,ATX,titanium,1600,Full,Black
Corsair CX650F,,ATX,bronze,650,Full,Black
ADATA XPG PYLON,,ATX,bronze,750,false,Black
Fractal Design Ion Gold,161.47,ATX,gold,750,Full,Black
SeaSonic PRIME 600 Titanium,,ATX,titanium,600,Full,Black
be quiet! Straight Power 11 750W,,ATX,gold,750,Full,
Corsair RM750x (2024),119.99,ATX,,750,Full,Black
Cooler Master V650 SFX GOLD,,SFX,gold,650,Full,Black
EVGA SuperNOVA 750 G5,129.97,ATX,gold,750,Full,Black / Green
Corsair TX650M Gold,199.99,ATX,gold,650,Semi,
Super Flower LEADEX VII XG,179.32,ATX,gold,1000,Full,Black
Gigabyte UD850GM PG5 (rev. 2.0),146.32,ATX,gold,850,Full,Black
Corsair CX750M V2 (2017 Edition),176.47,ATX,bronze,750,Semi,Black / White
NZXT C650 (2022),139.98,ATX,gold,650,Full,Black
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 G5,141.15,ATX,gold,850,Full,Black / Green
EVGA SuperNOVA 850 G2,,ATX,gold,850,Full,
Corsair TX750M,,ATX,gold,750,Semi,Black
Thermaltake Toughpower GF3 TT Premium,179.99,ATX,gold,1350,Full,Black
KOLINK ENCLAVE,,ATX,gold,500,Full,Black
GameMax RGB Pro,109.99,ATX,gold,850,Full,White
Silverstone SX700-PT,140.53,SFX,platinum,700,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,104.99,ATX,gold,850,Full,Black
Corsair RM750,219.79,ATX,gold,750,Full,
EVGA SuperNOVA 1600 P2,699.99,ATX,platinum,1600,Full,
Cooler Master MWE Bronze V2,,ATX,bronze,700,false,Black
